499116.9111095,2745317.0809000,1986.7865048
499112.6467472,2745324.7841049,1985.7988934
499107.5442288,2745333.5241662,1984.5124244
499101.8713426,2745342.0415144,1982.8188951
499094.8522962,2745350.0282842,1980.1626745
499089.6361368,2745358.7276115,1978.8015897
499084.1876174,2745367.3350167,1977.2774574
499078.9453876,2745376.0235434,1975.9054422
499078.9453112,2745376.0235131,1975.9053874
499082.6369070,2745366.7203007,1976.1653866
499086.3219002,2745357.4160814,1976.4253859
499090.0014055,2745348.1113003,1976.6853851
499093.6765378,2745338.8064008,1976.9453843
499097.3484124,2745329.5018249,1977.2053836
499101.0181442,2745320.1980130,1977.4653828
499102.2474380,2745317.0809000,1977.5525010
499116.9111095,2745317.0809000,1986.7865048
